sample-T,sample-t,index,I,U,T,Capacity,SOC
5130.306277,253.2124958,8,-2.405737638,2.937824249,26.84921265,-0.035981258,9.65E-01
5131.315337,254.221555,8,-2.405737638,2.936900854,26.89336205,-0.036655573,9.65E-01
5132.318371,255.2245893,8,-2.405925512,2.935669899,26.89336205,-0.037325913,9.64E-01
5133.325451,256.2316695,8,-2.405737638,2.934438705,26.84921265,-0.037998905,9.63E-01
5134.334475,257.2406933,8,-2.405737638,2.933823109,26.84921265,-0.038673196,9.63E-01
5135.337574,258.2437919,8,-2.405925512,2.932284355,26.92393684,-0.039343579,9.62E-01
5136.3467,259.2529181,8,-2.405549765,2.931668758,26.95450974,-0.040017886,9.61E-01
5137.356659,260.2628778,8,-2.405737638,2.930437565,26.81863594,-0.040692802,9.61E-01
5138.358846,261.2650643,8,-2.405737638,2.929822206,26.87978745,-0.041362524,9.60E-01
5139.367694,262.2739122,8,-2.405737638,2.92920661,26.92393684,-0.042036697,9.59E-01
5140.373781,263.2799992,8,-2.405549765,2.927975416,26.95450974,-0.042708972,9.59E-01
5141.381,264.2872188,8,-2.405737638,2.927052259,26.84921265,-0.043382057,9.58E-01
5142.385882,265.2921001,8,-2.405737638,2.926744461,26.87978745,-0.04405358,9.57E-01
5143.392972,266.2991899,8,-2.405737638,2.925821066,26.87978745,-0.044726578,9.57E-01
5144.402949,267.3091672,8,-2.405925512,2.924897671,26.91036415,-0.045401559,9.56E-01
5145.411029,268.3172472,8,-2.405737638,2.924282074,26.77448273,-0.046075219,9.56E-01
5146.411098,269.3173157,8,-2.405737638,2.923666716,26.95450974,-0.046743525,9.55E-01
5147.419277,270.3254953,8,-2.405737638,2.92274332,26.95450974,-0.047417251,9.54E-01
5148.428201,271.3344187,8,-2.405737638,2.922435522,26.73032379,-0.048091475,9.54E-01
5149.429452,272.3356702,8,-2.405737638,2.921819925,26.87978745,-0.048760572,9.53E-01
5150.439251,273.3454697,8,0.962824821,3.449655294,26.95450974,-0.048490499,9.53E-01
5151.446328,274.3525456,8,0.962824821,3.455810785,26.98508453,-0.048221156,9.53E-01
5152.449523,275.3557416,8,0.962824821,3.459504128,26.98508453,-0.04795285,9.54E-01
5153.459452,276.3656697,8,0.962824821,3.462581873,26.87978745,-0.047682743,9.54E-01
5154.460488,277.366706,8,0.962637007,3.465044022,26.92393684,-0.047415067,9.54E-01
5155.460535,278.366753,8,0.962824821,3.467813969,26.89679337,-0.047147603,9.54E-01
5156.465577,279.3717952,8,0.962824821,3.470276356,26.98508453,-0.046878803,9.55E-01
